"cluster","alpha","beta","P_beta_gt_0","n_zip_days","H_bar","AR_mean","AR_q025","AR_q975","P_AR_gt_0","n_positive","n_samples"
"cluster1",-12.000494806093,0.434727188908506,0.999999815773697,9384,0.0937283341911895,0.000670985146051886,0.000305774795699469,0.00106656820038906,1,4000,4000
"cluster2",-11.6887134767029,0.321418159670778,0.99994190558909,2576,0.221897198288127,0.000276234428845564,-0.000251824845176475,0.00104878957281813,0.7975,3190,4000
"cluster3",-11.9232136819267,0.444399947089863,0.999999815453127,6256,0.171264922730912,0.000654686442901383,0.000206368940374542,0.00116103136361601,0.99825,3993,4000
"cluster4",-11.7748204309166,0.402473563895306,0.999999813556215,2760,0.311409282999478,0.00150071799436329,0.000592538935923768,0.00267765497702504,1,4000,4000
"cluster5",-10.7325035646251,0.460319269517807,0.999999811395583,1656,-0.966163361220895,0.0115597707294319,-0.00899388933602982,0.0296714279861235,0.89425,3577,4000
"cluster6",-11.4823520237529,0.388007461013467,0.999999815085503,8280,-0.211869049688429,-0.00588376485729228,-0.0141068722076952,-0.000654801723711751,0.00825,33,4000
"cluster7",-12.025284771748,0.233208933758556,0.98913666280949,1288,-2.08737857419944,0.00318135363874448,-0.000313121626612587,0.0119471155833279,0.93425,3737,4000
"cluster8",-11.5728289612433,0.596088975192786,0.999999813217957,2208,-0.502068663936351,-0.0538695722744805,-0.11279865692966,-0.0170251175463993,0,0,4000
"cluster9",-11.6875678303336,0.301981990102911,0.999999815289385,6072,0.185351075917342,0.000218787968273617,-0.000178326766885359,0.000683712130258486,0.84875,3395,4000
"cluster10",-11.9612978181655,0.30432411119188,0.998069807752608,1472,0.305840378466497,0.000301325889617288,-0.000175825527575021,0.00119829790443213,0.799,3196,4000
"cluster11",-11.7282282804441,0.36334780678367,0.999999815192205,5336,0.224693384065477,0.000602161329722655,9.84998790817005e-05,0.00121663470152903,0.99175,3967,4000
"cluster12",-11.7477360909199,0.334227274901701,0.998911519413897,2024,-0.0236103970626915,0.000249072187804819,-0.000216298008033185,0.000997650343681781,0.783,3132,4000
"cluster13",-12.0343641629459,0.472739235417588,0.999999814522288,3496,0.229612850367029,0.00091923874908843,0.0003361336007454,0.00160904555936082,0.9995,3998,4000
"cluster14",-11.8506077362485,0.447330023088654,0.999999814276656,4048,0.0592205716265997,-0.00112865958918386,-0.00352203663400151,0.000547587167408181,0.12425,497,4000
