cluster,cluster_label,vulnerability_score,n_zcta,variable,cluster_median,display_label,theme,n_clusters_observed,median_center,median_sd,standardized_median,row_order,column_order
4,Hispanic / Younger / Low income,0.676160894660895,15,pct_black,0.08868077786803,Black (NH),Race/ethnicity,14,0.051070634539999424,0.050027846884292695,0.751784169624919,1,1
4,Hispanic / Younger / Low income,0.676160894660895,15,pct_hispanic,0.63850207554391,Hispanic,Race/ethnicity,14,0.35034315709737823,0.22226080297421477,1.2964900449854044,1,2
4,Hispanic / Younger / Low income,0.676160894660895,15,pct_white,0.144298106000318,White (NH),Race/ethnicity,14,0.35712144456335826,0.23067836106664166,-0.9225977572363487,1,3
4,Hispanic / Younger / Low income,0.676160894660895,15,pct_asian,0.0325437297801173,Asian (NH),Race/ethnicity,14,0.16036263703852552,0.15736555627614215,-0.8122419561375551,1,4
4,Hispanic / Younger / Low income,0.676160894660895,15,median_income,49853,Median income,Socioeconomic,14,68193.07142857143,19561.591850493012,-0.9375551626239051,1,5
4,Hispanic / Younger / Low income,0.676160894660895,15,education_low,0.27728006041259,Low education,Socioeconomic,14,0.15657958884775813,0.11385800060210807,1.0600965318777706,1,6
4,Hispanic / Younger / Low income,0.676160894660895,15,uninsured_rate,0.10393128510076,Uninsured,Socioeconomic,14,0.08327475359587691,0.038107418892367906,0.542060630325717,1,7
4,Hispanic / Younger / Low income,0.676160894660895,15,poverty_rate,0.19955038349643,Poverty,Socioeconomic,14,0.14442285783271225,0.060407781812764315,0.9125898023302219,1,8
4,Hispanic / Younger / Low income,0.676160894660895,15,unemployment_rate,0.090130457194972,Unemployment,Socioeconomic,14,0.06696040586499442,0.017169184022973683,1.349513832397292,1,9
4,Hispanic / Younger / Low income,0.676160894660895,15,pct_age17,0.298198671699556,Age <18,Household,14,0.1928420108318432,0.0645451732531949,1.6322934087483878,1,10
4,Hispanic / Younger / Low income,0.676160894660895,15,pct_age65,0.110199118407053,Age 65+,Household,14,0.1356715533325382,0.047705558667958094,-0.5339510873938051,1,11
4,Hispanic / Younger / Low income,0.676160894660895,15,disability_rate,0.122221572297613,Disability,Household,14,0.10367445532547415,0.03367173118128822,0.5508216038041345,1,12
4,Hispanic / Younger / Low income,0.676160894660895,15,elderly_alone_rate,0.189322787938705,Older adults alone,Household,14,0.24624007372913156,0.08536503061445375,-0.6667517762336456,1,13
4,Hispanic / Younger / Low income,0.676160894660895,15,language_isolation,0.117427024827945,Language isolation,Household,14,0.09839067894886971,0.07354021388233704,0.2588562756906456,1,14
4,Hispanic / Younger / Low income,0.676160894660895,15,no_phone_rate,0.0198359364137739,No phone,Household,14,0.017067492490141105,0.005222091766650528,0.530140803214664,1,15
4,Hispanic / Younger / Low income,0.676160894660895,15,alt_housing_rate,0.0559171913349696,Alternative housing,Housing,14,0.015799856769518,0.0245727352235202,1.6325954030161294,1,16
4,Hispanic / Younger / Low income,0.676160894660895,15,old_housing_rate,0.374030522892169,Pre-1980 housing,Housing,14,0.7109108994633893,0.14186395207651686,-2.374672153427093,1,17
4,Hispanic / Younger / Low income,0.676160894660895,15,renter_burden_rate,0.58716020821284,Rent burden,Housing,14,0.5409131604647176,0.04991350652506598,0.9265437547429703,1,18
4,Hispanic / Younger / Low income,0.676160894660895,15,housing_overcrowding,0.00795334040296925,Overcrowding,Housing,14,0.007272672234204457,0.007259237265016361,0.0937657971375397,1,19
4,Hispanic / Younger / Low income,0.676160894660895,15,outdoor_worker_rate,0.110715041999012,Outdoor-work proxy,Work,14,0.05629726624955125,0.02753968992836427,1.9759763414552325,1,20
1,Hispanic / Younger / Low income,0.752347423818012,51,pct_black,0.0577729573391179,Black (NH),Race/ethnicity,14,0.051070634539999424,0.050027846884292695,0.13397184201470827,2,1
1,Hispanic / Younger / Low income,0.752347423818012,51,pct_hispanic,0.729083552612964,Hispanic,Race/ethnicity,14,0.35034315709737823,0.22226080297421477,1.7040359363748214,2,2
1,Hispanic / Younger / Low income,0.752347423818012,51,pct_white,0.0369412201146115,White (NH),Race/ethnicity,14,0.35712144456335826,0.23067836106664166,-1.387994187960476,2,3
1,Hispanic / Younger / Low income,0.752347423818012,51,pct_asian,0.0270407565159626,Asian (NH),Race/ethnicity,14,0.16036263703852552,0.15736555627614215,-0.8472113191568563,2,4
1,Hispanic / Younger / Low income,0.752347423818012,51,median_income,42581,Median income,Socioeconomic,14,68193.07142857143,19561.591850493012,-1.3093040497072805,2,5
1,Hispanic / Younger / Low income,0.752347423818012,51,education_low,0.412262270351813,Low education,Socioeconomic,14,0.15657958884775813,0.11385800060210807,2.245627713045586,2,6
1,Hispanic / Younger / Low income,0.752347423818012,51,uninsured_rate,0.168045120693646,Uninsured,Socioeconomic,14,0.08327475359587691,0.038107418892367906,2.224510858035225,2,7
1,Hispanic / Younger / Low income,0.752347423818012,51,poverty_rate,0.243026883504812,Poverty,Socioeconomic,14,0.14442285783271225,0.060407781812764315,1.6323066782641649,2,8
1,Hispanic / Younger / Low income,0.752347423818012,51,unemployment_rate,0.0832364000324614,Unemployment,Socioeconomic,14,0.06696040586499442,0.017169184022973683,0.9479771517206902,2,9
1,Hispanic / Younger / Low income,0.752347423818012,51,pct_age17,0.261975383609314,Age <18,Household,14,0.1928420108318432,0.0645451732531949,1.0710850911543377,2,10
1,Hispanic / Younger / Low income,0.752347423818012,51,pct_age65,0.0927403659011288,Age 65+,Household,14,0.1356715533325382,0.047705558667958094,-0.8999200225328153,2,11
1,Hispanic / Younger / Low income,0.752347423818012,51,disability_rate,0.0971013302676959,Disability,Household,14,0.10367445532547415,0.03367173118128822,-0.195211972392765,2,12
1,Hispanic / Younger / Low income,0.752347423818012,51,elderly_alone_rate,0.212137780207764,Older adults alone,Household,14,0.24624007372913156,0.08536503061445375,-0.39948786143343185,2,13
1,Hispanic / Younger / Low income,0.752347423818012,51,language_isolation,0.228564326143491,Language isolation,Household,14,0.09839067894886971,0.07354021388233704,1.7701015583514168,2,14
1,Hispanic / Younger / Low income,0.752347423818012,51,no_phone_rate,0.0240405193322871,No phone,Household,14,0.017067492490141105,0.005222091766650528,1.335293815914408,2,15
1,Hispanic / Younger / Low income,0.752347423818012,51,alt_housing_rate,0.00455988925983226,Alternative housing,Housing,14,0.015799856769518,0.0245727352235202,-0.4574162138420479,2,16
1,Hispanic / Younger / Low income,0.752347423818012,51,old_housing_rate,0.817635817635818,Pre-1980 housing,Housing,14,0.7109108994633893,0.14186395207651686,0.7523047018658044,2,17
1,Hispanic / Younger / Low income,0.752347423818012,51,renter_burden_rate,0.606976019931486,Rent burden,Housing,14,0.5409131604647176,0.04991350652506598,1.323546752492582,2,18
1,Hispanic / Younger / Low income,0.752347423818012,51,housing_overcrowding,0.0254568809482104,Overcrowding,Housing,14,0.007272672234204457,0.007259237265016361,2.5049751165510306,2,19
1,Hispanic / Younger / Low income,0.752347423818012,51,outdoor_worker_rate,0.083031510322347,Outdoor-work proxy,Work,14,0.05629726624955125,0.02753968992836427,0.9707532707280425,2,20
3,Hispanic / Mid-low income,0.585511841100076,34,pct_black,0.0591300141909403,Black (NH),Race/ethnicity,14,0.051070634539999424,0.050027846884292695,0.16109787154304434,3,1
3,Hispanic / Mid-low income,0.585511841100076,34,pct_hispanic,0.475882620044695,Hispanic,Race/ethnicity,14,0.35034315709737823,0.22226080297421477,0.5648295212983687,3,2
3,Hispanic / Mid-low income,0.585511841100076,34,pct_white,0.241646672623105,White (NH),Race/ethnicity,14,0.35712144456335826,0.23067836106664166,-0.5005877942183458,3,3
3,Hispanic / Mid-low income,0.585511841100076,34,pct_asian,0.142585467214121,Asian (NH),Race/ethnicity,14,0.16036263703852552,0.15736555627614215,-0.11296734968616308,3,4
3,Hispanic / Mid-low income,0.585511841100076,34,median_income,60115,Median income,Socioeconomic,14,68193.07142857143,19561.591850493012,-0.4129557292837516,3,5
