"cluster","pct_white","pct_black","pct_asian","pct_hispanic","median_age","poverty_rate","median_income","unemployment_rate","education_low","uninsured_rate","language_isolation","disability_rate","housing_overcrowding","owner_burden_rate","renter_burden_rate","outdoor_worker_rate","y","n"
1,1,3,1,4,1,4,1,4,4,4,4,3,4,3,4,4,0,71
2,4,2,2,1,3,2,3,3,2,2,2,4,2,4,3,2,0,17
3,2,3,3,3,2,3,2,2.5,3,3,3,2.5,3,3,3,3,0,34
4,3,4,1,3,1,4,1,4,3,3,2,4,3,1,2,4,1,7
5,4,1,1,2,4,3,2,2,2,2,1,4,1,2,1.5,3.5,0.5,8
6,2.5,4,3,2,3,4,1,4,3,3,2.5,4,2,4,4,2,1,8
7,3,3,3,2,3,1,4,2,2,1,1,3,2,1,2,3,0,27
8,4,2,2,1,4,1,4,2,1,1,1,1,1,2,1,1,0,50
9,3,2,4,1,3,1,4,1,2,1,2,1,2,2,2,1,1,25
10,1,1,4,2,3,3,2,1.5,3,2,4,2,2,2,3,2,0.5,8
11,2,3,3,3,3,2,3,3,2,2,2,3,2,2,2,2,0,42
12,2,1,1,4,2,2,3,2,4,3,3,2,4,2,2,3,0,5
