"variable","rho","p_value","p_bonferroni"
"pct_black",-0.738564388146516,3.16596162174734e-06,7.28171173001889e-05
"pct_asian",-0.726524272548442,5.47470129158807e-06,0.000125918129706526
"disability_rate",0.57670486506601,0.000850244506185523,0.019555623642267
"pct_age65",0.572699970169718,0.000941643998801159,0.0216578119724267
"housing_overcrowding",-0.566883068108785,0.00108967567880949,0.0250625406126182
"alt_housing_rate",0.560685285480843,0.00126938281000204,0.029195804630047
"pct_white",0.531761044563181,0.00249267925779933,0.0573316229293846
"outdoor_worker_rate",0.521971301483356,0.00309127158997077,0.0710992465693276
"renter_burden_rate",-0.396039606411072,0.0302736295255377,0.696293479087368
"elderly_alone_rate",0.376905108573234,0.0400639993357247,0.921471984721667
"median_income",-0.315051731841617,0.0899276174977338,1
"renter_rate",-0.285237514280334,0.126545778469913,1
"pct_hispanic",-0.264323063155255,0.158100653764251,1
"language_isolation",-0.250083436857328,0.182579656684641,1
"owner_burden_rate",-0.217599289365184,0.24804800887531,1
"poverty_rate",0.158415842564429,0.40309366855287,1
"pct_age17",-0.130381578290387,0.492255928574627,1
"uninsured_rate",0.119256870245132,0.530208456377803,1
"no_phone_rate",-0.0957150955102477,0.614869649971163,1
"education_low",0.073868061420492,0.698067092328057,1
"vehicle_rate",-0.0618602596534355,0.745380368981604,1
"old_housing_rate",0.0195794861596485,0.918205801175958,1
"unemployment_rate",0.00133496496543058,0.994413898978999,1
"SVI_score",-0.0925575709365201,0.626638416430281,NA
"vulnerability_score_composite",0.0467237737900703,0.806320102007127,NA
