"variable","rho","p_value","p_bonferroni"
"pct_asian",-0.839107254027756,1.59827355572296e-07,2.55723768915673e-06
"outdoor_worker_rate",0.777692307692308,8.36869175124653e-06,0.000133899068019945
"disability_rate",0.74,3.80342092269821e-05,0.000608547347631714
"pct_black",-0.691716120219264,0.000128173414829711,0.00205077463727537
"alt_housing_rate",0.642307692307692,0.000712484692724975,0.0113997550835996
"pct_age65",0.583846153846154,0.00261293404139071,0.0418069446622514
"housing_overcrowding",-0.566014428746127,0.00318547494873115,0.0509675991796985
"pct_white",0.526923076923077,0.00756449094746462,0.121031855159434
"renter_burden_rate",-0.452307692307692,0.0242782367595109,0.388451788152175
"median_income",-0.356153846153846,0.0812058886964159,1
"language_isolation",-0.238507409682211,0.250907226925079,1
"pct_hispanic",-0.208461538461538,0.315808148746753,1
"pct_age17",-0.169230769230769,0.416955721694,1
"education_low",0.132307692307692,0.526799949821683,1
"poverty_rate",0.0953846153846154,0.649068427099782,1
"uninsured_rate",0.0469230769230769,0.823813553039813,1
"vulnerability_score_composite",0.124615384615385,0.551323914956724,NA
