"variable","rho","p_value","p_bonferroni"
"alt_housing_rate",0.728845482155908,0.000267205380193798,0.00320646456232558
"housing_overcrowding",-0.698013763936435,0.000621076437693081,0.00745291725231697
"outdoor_worker_rate",0.640090304762309,0.00236731477470809,0.028407777296497
"pct_age65",0.593456228504656,0.00580878331104505,0.0697053997325406
"disability_rate",0.573900002977252,0.00814572294661206,0.0977486753593448
"median_income",-0.376833422662652,0.101470175621512,1
"language_isolation",-0.370816122500374,0.10749552930091,1
"renter_burden_rate",-0.339225296648415,0.143419025444074,1
"poverty_rate",0.226400918605705,0.337133732243619,1
"pct_age17",-0.224896593565136,0.340439872574802,1
"uninsured_rate",0.131628441049829,0.580144836893009,1
"education_low",0.0488905638185077,0.837815471064065,1
"vulnerability_score_composite",0.254983094376525,0.27794166371061,NA
