"cluster","cluster_label","IRR","ci_low","ci_high","pct_change","vulnerability_score","pct_white","pct_black","pct_asian","pct_hispanic","pct_age17","pct_age65","poverty_rate","median_income","unemployment_rate","education_low","uninsured_rate","vehicle_rate","language_isolation","disability_rate","housing_overcrowding","owner_burden_rate","renter_burden_rate","outdoor_worker_rate","no_phone_rate","elderly_alone_rate","alt_housing_rate","old_housing_rate","n"
6,"White / Older / Low income",1.07105738169367,0.90209726934619,1.27165911947502,7.10573816936748,0.519211822660099,0.825119906068964,0,0,0.0616729816380064,0.146169711013057,0.262045419671628,0.219560878243513,41250,0.0882352941176471,0.10223544573824,0.0811594202898551,0.0376800886590321,0,0.207865168539326,0,0.25629290617849,0.481481481481481,0.158798283261803,0.0223880597014925,0.308790285184326,0.165137614678899,0.603351955307263,120
2,"White / Older / Mid-low income",1,1,1,0,0.232315270935961,0.947643979057592,0,0,0,0.0467532467532468,0.284848484848485,0.0372670807453416,62269.5,0,0.0191082802547771,0,0,0,0.141304347826087,0,0.235514841522723,0.166923076923077,0.103763440860215,0,0.15609756097561,0.027464864284948,0.648860398860399,135
13,"Hispanic & White / Low income",0.843714808316907,0.685747794566095,1.03807092319377,-15.6285191683093,0.660886699507389,0.406705539358601,0.000403388463089956,0.00399201596806387,0.493421052631579,0.256158813680938,0.145510835913313,0.176808266360505,44325,0.0858524788391778,0.288758265980896,0.119402985074627,0.0462351387054161,0.123287671232877,0.151020967520899,0,0.268817204301075,0.414634146341463,0.283068783068783,0.00241254523522316,0.222641509433962,0.181585677749361,0.662650602409639,29
7,"Hispanic / Mid-low income",0.780893915280573,0.611467688733226,0.997264970127115,-21.9106084719428,0.592709359605911,0.305949008498584,0,0,0.571428571428571,0.257142857142857,0.0872274143302181,0.174192094908207,52070.5,0.0330855823351133,0.302835051546392,0.0952407614781635,0,0.126126126126126,0.0941390538211071,0,0.205128205128205,0.293103448275862,0.268370607028754,0,0.245283018867925,0.0778210116731518,0.674698795180723,45
12,"White / Low income",0.764284918677246,0.644404771762907,0.906469677868844,-23.5715081322754,0.583054187192118,0.686157771635126,0.0140460397971128,0.0126374101964858,0.19363618938087,0.211871393239901,0.206328621449877,0.19723047196479,41989,0.095356442119032,0.140443505807814,0.0848861283643892,0.0716393882479206,0.026355421686747,0.201857744904103,0,0.30188679245283,0.527044025157233,0.136764470097803,0.0199004975124378,0.31140350877193,0.176599749058971,0.590643274853801,49
30,"White / Older / Mid-high income",0.645047374516165,0.478960333852722,0.868728292200357,-35.4952625483835,0.345615763546798,0.693677388606051,0.0135057952318585,0.115042337170404,0.138700151374236,0.121823448136481,0.380778919761923,0.111885336269119,77509.5,0.0382318402530312,0.0602525099544199,0.0263835554314484,0.10545550946341,0.0565104399252876,0.177117902143141,0,0.333376101493977,0.652547378704706,0.0425613931029051,0,0.349867144519157,0.00619470092171263,0.592760881197304,8
11,"White / Older / Mid-low income",0.585094638311806,0.498718514417052,0.686431089783989,-41.4905361688194,0.43487684729064,0.819973718791064,0.00438247011952191,0.0133732407820162,0.104810996563574,0.174863387978142,0.245437616387337,0.127721335268505,57813,0.0590405904059041,0.079934127185204,0.0605315716699954,0.0400550757291276,0.00775193798449612,0.169987349778621,0,0.305361023907269,0.511627906976744,0.116666666666667,0.0154862688416271,0.241457858769932,0.108552631578947,0.512761020881671,103
19,"Hispanic & White / Younger / Low income",0.532655895981902,0.439850479303612,0.645048955568438,-46.7344104018098,0.729852216748768,0.364166059723234,0.0587720128763492,0.0199511400651466,0.459074733096085,0.261374636979671,0.157135814641361,0.238301478203559,45069,0.11545212247286,0.232196524238861,0.0979222382225879,0.0662337662337662,0.0525664811379097,0.153918984620896,0.00574241181296144,0.31413612565445,0.516194331983806,0.125925925925926,0.0279290356578254,0.277590469768487,0.226887192536047,0.399961962723469,25
27,"White / Mid-low income",0.519326088350487,0.424120134181373,0.635902242125978,-48.0673911649513,0.494384236453202,0.64776182258926,0,0.00543265768335911,0.293623790155538,0.234502316122472,0.173695246971109,0.128525641025641,62171,0.0712701734395372,0.168974651819422,0.0973852252119253,0.0225796199878288,0.0527730177957672,0.139769631614048,0,0.241013217541894,0.369792094666776,0.199285714285714,0.0110837312501917,0.223689345991561,0.123894146816783,0.57311378560268,38
4,"Hispanic / Younger / Low income",0.515512274802816,0.438857822535451,0.605557378093733,-48.4487725197184,0.830147783251232,0.1061648366186,0.00377080842453785,0.0061720682675729,0.830706471351752,0.324449000512558,0.0864696879782615,0.290520782772378,39464,0.117922731082832,0.466248506571087,0.13487071977638,0.0653846153846154,0.247152768687001,0.0985915492957746,0.00878348704435661,0.327132486388385,0.528610354223433,0.378079864061172,0.0174966352624495,0.164373088685015,0.0667943500119703,0.48544061302682,77
18,"White / Older / Mid-high income",0.437992595767106,0.368244791091849,0.520950090391767,-56.2007404232894,0.315665024630542,0.844609026745914,0.00202270034898985,0.0133080378464382,0.0740917200067909,0.153557039866352,0.256642736862361,0.0766294759422965,85030,0.0375009687669534,0.0374774505329796,0.0453411343422024,0.0165387916512923,0.00319226277922176,0.119418067744616,0,0.327804284956078,0.461538461538462,0.111946532999165,0.00932394497789518,0.195236877982277,0.0370131458443546,0.536535375611064,80
16,"White / Mid-high income",0.388296255769684,0.327661261973952,0.460152570198652,-61.1703744230316,0.458128078817734,0.646545346944814,0.00702767749699158,0.0289208074534161,0.298355001326612,0.215189317403145,0.174625164793422,0.0819366852886406,83788,0.0484048404840484,0.119417962870045,0.0676718476357268,0.0218242865137101,0.0536378801488515,0.10655090765588,0.00267467698131841,0.311522048364154,0.438470728793309,0.14043583535109,0.0139899272523783,0.193798449612403,0.0694844700608389,0.474882112543225,49
10,"Hispanic / Younger / Mid-low income",0.32178998618751,0.272297466697527,0.380278659481556,-67.821001381249,0.718423645320197,0.304547336461496,0.0140044370493622,0.0280848900749778,0.603658719448193,0.291656067158484,0.121826347305389,0.194467269241304,53438,0.0938488071284852,0.28001444304026,0.091344798421201,0.0623479318734793,0.123355632380012,0.128284499475192,0.00482301266040823,0.273959103227396,0.496149327764,0.203369357914812,0.0176114474408365,0.239263803680982,0.0528297581013236,0.531968010832311,45
1,"Hispanic & White / Mid-low income",0.302032772424357,0.256533944931514,0.355600832709463,-69.7967227575643,0.601379310344828,0.45835324639858,0.0919468951715196,0.0593000282246684,0.321128464830708,0.235771592150363,0.133088122605364,0.218955302425858,48312,0.0980769230769231,0.154719589257504,0.0803239017125838,0.0900173495262245,0.0541499537179883,0.146008810572687,0.00352581160191591,0.292555960437272,0.555934128336173,0.0754332313965341,0.0217973697028738,0.300296345077379,0.0299334121600597,0.682487539646579,45
22,"White / Mid-high income",0.299692291346995,0.25499049015851,0.352230914266231,-70.0307708653005,0.478817733990148,0.621592403214025,0.0237852300297032,0.0481907223507006,0.254233722520248,0.215825471698113,0.15417199488491,0.116205030245145,68611,0.0590184432635198,0.09880386695068,0.0679258990192517,0.0512355279073786,0.0376376125207791,0.127845147469492,0.00226845550586558,0.300178890876565,0.515859766277129,0.0852246410375174,0.0174593142676568,0.27486355366889,0.0515665217005414,0.531363615444797,57
28,"White / Older / High income",0.289938298643971,0.244739950688821,0.343483328376026,-71.0061701356029,0.248669950738916,0.809515969706948,0.00928571428571429,0.0613269674020415,0.0746268656716418,0.190836338052942,0.229891680110625,0.0572616602374631,129727,0.0434147359632645,0.0233983286908078,0.024695423114916,0.0419019857897613,0.0114771202861827,0.0854728500384102,0,0.333693410586271,0.455188679245283,0.0439346228819913,0.0116375727348296,0.24855097170133,0.00284757118927973,0.745876204474931,47
15,"White / Mid-low income",0.277510529272672,0.221595087343225,0.347533904340437,-72.2489470727328,0.508965517241379,0.629009162038295,0.020488037340424,0.135792444258538,0.167934875841661,0.169624497226809,0.174310193397939,0.155900778183616,56893.5,0.0780464903821753,0.133880857792232,0.0905539540741384,0.101594693816749,0.173546051225156,0.139223299711634,0.00207007929377796,0.406896684791268,0.596267819410485,0.0492166060749876,0.0176746734329812,0.236031579287685,0.0036773390806903,0.74790513233206,10
26,"White / Mid-low income",0.273723785031813,0.226622283378311,0.330615089375422,-72.6276214968187,0.534975369458128,0.401419213973799,0.0790150910556107,0.158815533532012,0.201939553805555,0.0933311712361535,0.142308962046793,0.228573323165678,52643,0.0626016260162602,0.148965371718436,0.0751445086705202,0.281648445322149,0.0954494532818359,0.147306397306397,0.0101321216927544,0.339302493875615,0.474943712115994,0.0303401027648642,0.0353159504516554,0.456165709993986,0.00125434479460081,0.689468448689608,26
23,"Hispanic & White / Younger / Mid-high income",0.266509701429295,0.226521404542142,0.313557152824094,-73.3490298570705,0.544827586206897,0.329179804733503,0.0569941296046507,0.0806520938229154,0.464250511790128,0.268445340264149,0.0992861234126374,0.121108724040608,73086,0.0719804275045068,0.186969674610787,0.0773241469205344,0.033695652173913,0.0705014346222162,0.099840077038158,0.00424507381359691,0.308010530274539,0.506420733130983,0.087609723160027,0.0155763239875389,0.176710235953149,0.045776872849821,0.316973111901937,51
8,"White / High income",0.263323289433956,0.225240582058655,0.307844386362407,-73.6676710566044,0.358817733990148,0.637156390179069,0.018860975503048,0.101036049236708,0.188814443411854,0.198281834779506,0.183789104102116,0.0695395340796951,97526,0.0479507614801433,0.0642691452532726,0.0457875545179307,0.0414597826782985,0.0313300894244389,0.0995003119128477,0.00096316211871628,0.314451681944986,0.489370342867134,0.0595076482414559,0.013536388971141,0.25234380232373,0.012120874730809,0.706476371423508,82
24,"White / Mid-high income",0.263013073861207,0.223582700754196,0.30939691763492,-73.6986926138793,0.373399014778325,0.624111182934712,0.0482096887432717,0.0829647500335076,0.153011674759789,0.148028442146089,0.147782211244115,0.115021261442427,79534,0.0561090718405873,0.057217416517663,0.0642737896494157,0.0825411546487364,0.0357453016986834,0.0981748318924111,0.0021088490550734,0.338373655913978,0.494283714419039,0.0289047997878547,0.0200773623135016,0.337885462555066,0.00158669713125159,0.792404429706563,55
5,"Hispanic / Younger / Low income",0.247784918513663,0.212068876609908,0.289516217124047,-75.2215081486337,0.809852216748769,0.0914811866518305,0.09931333709591,0.0503437943260678,0.638904471420106,0.278390045403107,0.0917088207986929,0.277409721567864,40883,0.0943167176807575,0.377635417447667,0.146459339850246,0.125052695510261,0.197019803803288,0.11604412917466,0.0197620747101698,0.385799513206289,0.603977409327245,0.09266245135502,0.0249944459736244,0.236428599609924,0.00909867410948168,0.795835188286096,88
20,"Mixed racial composition / Mid-high income",0.234050928183692,0.200418089788234,0.273327572077034,-76.5949071816308,0.543251231527094,0.261980625091457,0.0295254652480248,0.1834961319987,0.363624103334973,0.209325316007269,0.146371418116344,0.102152665926755,80382.5,0.0530876942733847,0.14518125362861,0.0759202206077387,0.0473912646426972,0.0905683641583545,0.0955368075011526,0.0061128814805736,0.320459976048757,0.527783540934471,0.0605296764347419,0.0154921869620871,0.193339217949133,0.0149716944769038,0.775832414699906,92
25,"White / High income",0.231370694107062,0.196043255311519,0.273063835824863,-76.8629305892938,0.390935960591133,0.455605611313869,0.058664447680466,0.110983645134722,0.300994964361301,0.258359174868545,0.122655854029397,0.0713708117990367,93515,0.0587264402087105,0.0916277398490837,0.0506830951769773,0.0261141685550879,0.0368527878377841,0.0972020562728093,0.00162632737013298,0.299044406970208,0.498732894069944,0.0717828243278517,0.0138334889247221,0.174051821254225,0.0239548228436105,0.188566073102156,41
17,"Hispanic / Mid-low income",0.227582438098172,0.194754696474278,0.265943371878124,-77.2417561901828,0.680394088669951,0.193421284080915,0.0413865190123736,0.137751921878246,0.502926243168869,0.228619609732595,0.11675764501445,0.174085774459123,59564,0.06385345594779,0.224723561100085,0.118800625266449,0.0743838028169014,0.144857859531773,0.101713122632442,0.0120055347550057,0.350360484736923,0.583812847844543,0.0778221074865055,0.0194674814491488,0.23161234496683,0.0165349721978344,0.750716177503919,81
