"predictor","IRR","ci_low","ci_high","cluster_label","cluster","p_IRR_gt_1","vulnerability_score","n.x","svi_score","poverty_rate","median_income","education_low","pct_age17","pct_age65","uninsured_rate","language_isolation","disability_rate","outdoor_worker_rate","renter_burden_rate","housing_overcrowding","alt_housing_rate","n.y","pct_white","pct_black","pct_asian","pct_hispanic"
"cluster",3.41263145400726,2.95162249184773,3.94560420279418,"White / Older / Low income",2,1,0.539744572158365,165,0.3561,0.213246142837875,39890,0.109200109200109,0.138674474314613,0.27495342028214,0.0725877270012997,0,0.227819852379847,0.14738475177305,0.488461538461538,0,0.197892278499489,165,0.819035424669228,0,0,0.0724233983286908
"cluster",2.63694524681415,2.2093153931833,3.14731112274344,"Hispanic & White / Mid-low income",10,1,0.652220388032934,47,0.5719,0.174406047516199,48922.5,0.288758265980896,0.249590834697218,0.142857142857143,0.117305458768873,0.123287671232877,0.154838709677419,0.334152334152334,0.296296296296296,0,0.155807365439093,47,0.406705539358601,0,0.00196206671026815,0.457808478938101
"cluster",1.93050203458393,1.53045443988148,2.43509038850358,"White / Mid-low income",17,0.999999986091591,0.586002212187557,21,0.4871,0.13921433494142,62385.5,0.154989384288747,0.228448275862069,0.162217659137577,0.15622641509434,0.0503826530612245,0.0917543430389038,0.207547169811321,0.473826714801444,0,0.112,21,0.609777015437393,0.000349711488022382,0.00754716981132075,0.293584905660377
"cluster",1.65589727954639,1.43829192681702,1.90640648714336,"White / Older / Mid-low income",6,0.999999999998889,0.523935574395998,121,0.3883,0.129114420062696,58073,0.0791869574423036,0.171571072319202,0.261064004865658,0.0641028716743037,0.00706953321712183,0.168212739641311,0.116047144152312,0.510028653295129,0,0.0901486988847584,121,0.823372583870251,0.00398406374501992,0.0120627261761158,0.0987444859178826
"cluster",1.57323077593782,1.35050308195027,1.83267510626287,"White / Low income",1,0.999999997072048,0.651256372167024,59,0.7409,0.23086319218241,42332,0.170123972014238,0.231491384432561,0.189252336448598,0.0862981686379245,0.0320620676762012,0.198019801980198,0.128349470839901,0.527044025157233,0.00155535224153705,0.175144205558469,59,0.672015867291742,0.0132683735876438,0.0135376708502477,0.19271948608137
"cluster",1.22979609128113,1.05682114274747,1.43106759252417,"White / Older / High income",14,0.996273786549228,0.382031510286523,92,0.1421,0.0699411875882464,91500.5,0.0379975888803627,0.160589873065012,0.246829217889189,0.0365058786397047,0.00319226277922176,0.115772277727319,0.0996724890829694,0.451339167329621,0,0.0303473647623447,92,0.821663077027884,0.00322973748388932,0.0152871624650228,0.0934622287969982
"cluster",1.05412698464466,0.917440300843879,1.21117199920145,"Hispanic / Younger / Low income",3,0.771648084293494,0.728392206335856,123,0.8719,0.25065274151436,42931,0.405840748345882,0.307418666321713,0.0966143355534412,0.116924580550578,0.193977220635424,0.112604263206673,0.282233850905036,0.507829977628635,0.00554016620498615,0.0702709097361883,123,0.164777275661717,0.00763210659077679,0.0153698366954851,0.740923033026607
"cluster",1.04549818142329,0.897254029717712,1.21822481808582,"White / Mid-high income",13,0.715863746114571,0.57736752692836,53,0.5439,0.0980127339378738,75969,0.161295694895495,0.241503590784099,0.152500951503375,0.0778946695232309,0.0775981524249423,0.110720150129017,0.159157894736842,0.430379746835443,0.00274581589958159,0.0715843857634902,53,0.549825783972125,0.00683060109289617,0.0310930399425975,0.363531543403064
"cluster",1,1,1,"White / High income",8,NA,0.250901979565773,174,0.1725,0.0485019074989822,130246,0.0330431747627982,0.226619335819869,0.157131917598654,0.0291596590401095,0.0244585540267539,0.075761551353906,0.0340599168908795,0.428151534944481,0.000741187355039081,0.00175752452853493,174,0.614719749711539,0.0171077328863064,0.176829889918944,0.103283063657154
"cluster",0.722857199183951,0.626675493759047,0.833792141089979,"White / Mid-high income",7,4.15045394197566e-06,0.471946030081806,74,0.47895,0.098927185461939,79506.5,0.0844592192205594,0.211541208188374,0.162478055318153,0.0584075484607546,0.0336228028037361,0.115696488376983,0.078362402448549,0.516380514356137,0.00196913221027702,0.0341722837277505,74,0.621221106581579,0.0221307550754705,0.0563501299001378,0.242515389293484
